id,IP,account,group,id,port,ret,switchIP,time,url,vlan
1002776,192.168.101.140,xiaojiawei@qq.com,大三,2777,54082,0.6865,192.168.182.90,2023/04/21 16:28,http://www.38.net,700
1002777,192.168.51.57,xiaojiawei@qq.com,大一,2778,32077,0.7202,192.168.58.55,2023/04/21 17:05,http://www.65.org,700
1002778,192.168.84.50,xiaojiawei@qq.com,大四,2779,36771,0.0519,192.168.184.127,2023/04/21 18:43,http://79.cn,700
1002779,192.168.145.76,xiaojiawei@qq.com,大四,2780,21049,0.606,192.168.229.229,2023/04/21 18:59,https://89.cn,700
1002780,192.168.209.16,xiaojiawei@qq.com,大四,2781,32473,0.2132,192.168.90.143,2023/04/21 16:43,https://www.6.com,700
1002781,192.168.47.171,xiaojiawei@qq.com,大四,2782,13970,0.6154,192.168.25.62,2023/04/21 17:45,https://www.20.org,700
1002782,192.168.61.251,xiaojiawei@qq.com,大三,2783,56271,0.6814,192.168.240.192,2023/04/21 16:29,http://71.org,700
1002783,192.168.212.73,xiaojiawei@qq.com,大三,2784,43145,0.3053,192.168.18.177,2023/04/21 18:22,http://www.98.net,700
1002784,192.168.243.134,xiaojiawei@qq.com,大三,2785,62618,0.8211,192.168.233.68,2023/04/21 17:22,http://www.55.net,700
1002785,192.168.1.118,xiaojiawei@qq.com,大一,2786,14477,0.0825,192.168.145.3,2023/04/21 16:55,http://95.org,700
1002786,192.168.32.189,xiaojiawei@qq.com,大一,2787,51605,0.5469,192.168.226.99,2023/04/21 17:58,https://www.19.com,700
1002787,192.168.171.195,xiaojiawei@qq.com,大一,2788,30349,0.6616,192.168.153.166,2023/04/21 17:01,http://19.net,700
1002788,192.168.24.224,xiaojiawei@qq.com,大三,2789,44352,0.6484,192.168.141.208,2023/04/21 16:59,https://www.68.cn,700
1002789,192.168.217.206,xiaojiawei@qq.com,大一,2790,27617,0.497,192.168.55.10,2023/04/21 17:34,https://44.cn,700
1002790,192.168.62.32,xiaojiawei@qq.com,大四,2791,35088,0.0924,192.168.234.198,2023/04/21 16:02,https://63.org,700
1002791,192.168.106.117,xiaojiawei@qq.com,大二,2792,56446,0.353,192.168.32.16,2023/04/21 18:17,https://www.64.cn,700
1002792,192.168.58.239,xiaojiawei@qq.com,大三,2793,60601,0.1994,192.168.30.224,2023/04/21 16:33,https://21.net,700
1002793,192.168.91.96,xiaojiawei@qq.com,大二,2794,24474,0.2142,192.168.28.213,2023/04/21 17:40,https://www.63.net,700
1002794,192.168.96.3,xiaojiawei@qq.com,大二,2795,34226,0.7518,192.168.196.205,2023/04/21 18:12,https://96.net,700
1002795,192.168.95.81,xiaojiawei@qq.com,大三,2796,43835,0.8019,192.168.66.94,2023/04/21 17:39,https://www.95.net,700
1002796,192.168.225.115,xiaojiawei@qq.com,大一,2797,28981,0.0308,192.168.226.214,2023/04/21 18:19,https://www.11.cn,700
1002797,192.168.194.255,xiaojiawei@qq.com,大二,2798,15126,0.9437,192.168.189.59,2023/04/21 18:37,http://5.com,700
1002798,192.168.5.203,xiaojiawei@qq.com,大二,2799,11707,0.8363,192.168.157.54,2023/04/21 18:43,http://www.54.org,700
1002799,192.168.61.90,xiaojiawei@qq.com,大三,2800,38830,0.9846,192.168.181.101,2023/04/21 18:31,https://www.65.cn,700
1002800,192.168.249.125,xiaojiawei@qq.com,大三,2801,26614,0.9238,192.168.164.39,2023/04/21 17:00,https://84.com,700
1002801,192.168.64.7,xiaojiawei@qq.com,大一,2802,14509,0.6903,192.168.223.173,2023/04/21 18:19,http://82.org,700
1002802,192.168.181.1,xiaojiawei@qq.com,大一,2803,13202,0.3168,192.168.121.217,2023/04/21 17:22,http://www.73.net,700
1002803,192.168.171.1,xiaojiawei@qq.com,大三,2804,56325,0.9453,192.168.24.246,2023/04/21 17:55,https://www.68.org,700
1002804,192.168.194.119,xiaojiawei@qq.com,大四,2805,18932,0.7352,192.168.178.27,2023/04/21 17:36,https://www.41.net,700
1002805,192.168.126.9,xiaojiawei@qq.com,大四,2806,23008,0.7278,192.168.148.148,2023/04/21 16:22,http://38.cn,700
1002806,192.168.242.235,xiaojiawei@qq.com,大一,2807,11712,0.1487,192.168.87.90,2023/04/21 16:15,https://www.87.net,700
1002807,192.168.250.43,xiaojiawei@qq.com,大三,2808,32411,0.5754,192.168.42.36,2023/04/21 17:01,http://www.25.com,700
1002808,192.168.211.8,xiaojiawei@qq.com,大四,2809,49389,0.7713,192.168.126.122,2023/04/21 16:08,http://33.com,700
1002809,192.168.30.128,xiaojiawei@qq.com,大二,2810,38354,0.1967,192.168.211.16,2023/04/21 16:00,http://71.com,700
1002810,192.168.231.252,xiaojiawei@qq.com,大二,2811,48468,0.778,192.168.51.34,2023/04/21 18:28,http://60.org,700
1002811,192.168.124.166,xiaojiawei@qq.com,大三,2812,18116,0.0384,192.168.214.141,2023/04/21 16:15,http://www.20.com,700
1002812,192.168.146.197,xiaojiawei@qq.com,大四,2813,25275,0.8314,192.168.5.203,2023/04/21 16:43,http://81.org,700
1002813,192.168.53.12,xiaojiawei@qq.com,大四,2814,60859,0.7568,192.168.124.175,2023/04/21 16:55,http://www.8.org,700
1002814,192.168.240.112,xiaojiawei@qq.com,大一,2815,62378,0.1223,192.168.57.188,2023/04/21 18:00,http://61.cn,700
1002815,192.168.82.233,xiaojiawei@qq.com,大二,2816,43082,0.0976,192.168.94.127,2023/04/21 16:28,http://85.org,700
1002816,192.168.60.165,xiaojiawei@qq.com,大四,2817,21342,0.8352,192.168.248.210,2023/04/21 18:38,http://www.1.com,700
1002817,192.168.221.57,xiaojiawei@qq.com,大三,2818,14929,0.9268,192.168.54.137,2023/04/21 17:41,http://12.org,700
1002818,192.168.230.124,xiaojiawei@qq.com,大一,2819,28004,0.1449,192.168.179.131,2023/04/21 16:04,https://95.com,700
1002819,192.168.40.104,xiaojiawei@qq.com,大二,2820,37958,0.873,192.168.218.241,2023/04/21 18:52,http://40.org,700
1002820,192.168.167.92,xiaojiawei@qq.com,大一,2821,48235,0.0017,192.168.146.158,2023/04/21 17:15,https://33.cn,700
1002821,192.168.138.175,xiaojiawei@qq.com,大二,2822,26096,0.1137,192.168.235.137,2023/04/21 17:13,http://www.58.org,700
1002822,192.168.248.123,xiaojiawei@qq.com,大四,2823,11858,0.0492,192.168.91.106,2023/04/21 17:59,http://38.org,700
1002823,192.168.133.53,xiaojiawei@qq.com,大三,2824,30221,0.0079,192.168.119.182,2023/04/21 17:51,http://17.com,700
1002824,192.168.239.14,xiaojiawei@qq.com,大二,2825,39814,0.3905,192.168.104.187,2023/04/21 17:57,http://11.net,700
1002825,192.168.178.97,xiaojiawei@qq.com,大三,2826,29106,0.0527,192.168.126.129,2023/04/21 16:05,http://www.69.org,700
1002826,192.168.10.98,xiaojiawei@qq.com,大二,2827,57619,0.6759,192.168.231.239,2023/04/21 18:20,http://www.50.com,700
1002827,192.168.180.84,xiaojiawei@qq.com,大一,2828,33781,0.8538,192.168.146.222,2023/04/21 18:10,https://www.17.net,700
1002828,192.168.212.203,xiaojiawei@qq.com,大二,2829,29152,0.9593,192.168.17.193,2023/04/21 16:20,http://www.98.com,700
1002829,192.168.16.39,xiaojiawei@qq.com,大二,2830,36849,0.0561,192.168.128.183,2023/04/21 17:53,http://www.87.net,700
1002830,192.168.127.3,xiaojiawei@qq.com,大三,2831,32483,0.384,192.168.239.199,2023/04/21 17:58,https://www.42.cn,700
1002831,192.168.185.79,xiaojiawei@qq.com,大四,2832,29656,0.6935,192.168.0.103,2023/04/21 18:57,http://77.net,700
1002832,192.168.126.212,xiaojiawei@qq.com,大二,2833,56413,0.8984,192.168.216.123,2023/04/21 16:38,https://www.92.cn,700
1002833,192.168.90.155,xiaojiawei@qq.com,大四,2834,35550,0.6053,192.168.128.222,2023/04/21 18:20,http://www.51.org,700
1002834,192.168.72.157,xiaojiawei@qq.com,大一,2835,13594,0.22,192.168.6.237,2023/04/21 18:38,https://www.83.net,700
1002835,192.168.164.54,xiaojiawei@qq.com,大一,2836,33174,0.46,192.168.241.6,2023/04/21 16:57,http://www.54.org,700
1002836,192.168.206.136,xiaojiawei@qq.com,大一,2837,27083,0.3952,192.168.18.159,2023/04/21 17:17,http://www.78.net,700
1002837,192.168.177.82,xiaojiawei@qq.com,大一,2838,32438,0.3816,192.168.82.110,2023/04/21 17:27,http://17.net,700
1002838,192.168.122.165,xiaojiawei@qq.com,大四,2839,52604,0.4164,192.168.135.123,2023/04/21 18:09,https://www.79.cn,700
1002839,192.168.11.192,xiaojiawei@qq.com,大一,2840,22134,0.3906,192.168.8.151,2023/04/21 16:09,http://www.40.org,700
1002840,192.168.165.141,xiaojiawei@qq.com,大三,2841,57973,0.8965,192.168.93.47,2023/04/21 18:56,https://76.net,700
1002841,192.168.179.221,xiaojiawei@qq.com,大二,2842,49691,0.7835,192.168.19.189,2023/04/21 17:25,https://80.com,700
1002842,192.168.27.211,xiaojiawei@qq.com,大二,2843,41980,0.2143,192.168.2.42,2023/04/21 16:23,http://55.org,700
1002843,192.168.172.160,xiaojiawei@qq.com,大四,2844,62084,0.0938,192.168.211.238,2023/04/21 18:09,http://www.2.cn,700
1002844,192.168.188.13,xiaojiawei@qq.com,大三,2845,43118,0.6695,192.168.229.44,2023/04/21 16:39,http://7.com,700
1002845,192.168.203.140,xiaojiawei@qq.com,大三,2846,26574,0.6053,192.168.69.242,2023/04/21 17:07,http://www.45.org,700
1002846,192.168.30.134,xiaojiawei@qq.com,大二,2847,52531,0.3379,192.168.117.85,2023/04/21 17:04,http://39.net,700
1002847,192.168.79.241,xiaojiawei@qq.com,大四,2848,36223,0.8364,192.168.117.184,2023/04/21 18:43,http://www.28.org,700
1002848,192.168.84.111,xiaojiawei@qq.com,大二,2849,60369,0.2773,192.168.163.21,2023/04/21 17:20,https://www.50.net,700
1002849,192.168.40.32,xiaojiawei@qq.com,大一,2850,57286,0.5676,192.168.154.72,2023/04/21 16:53,https://40.net,700
1002850,192.168.133.63,xiaojiawei@qq.com,大一,2851,58348,0.6233,192.168.180.131,2023/04/21 17:21,http://www.13.org,700
1002851,192.168.72.19,xiaojiawei@qq.com,大二,2852,58613,0.3492,192.168.144.51,2023/04/21 16:28,https://www.41.org,700
1002852,192.168.183.136,xiaojiawei@qq.com,大四,2853,45667,0.0045,192.168.112.149,2023/04/21 16:13,https://www.8.cn,700
1002853,192.168.163.235,xiaojiawei@qq.com,大一,2854,39497,0.0368,192.168.210.239,2023/04/21 18:01,http://42.cn,700
1002854,192.168.192.32,xiaojiawei@qq.com,大四,2855,62431,0.4944,192.168.182.71,2023/04/21 17:37,https://40.com,700
1002855,192.168.93.15,xiaojiawei@qq.com,大三,2856,22332,0.2716,192.168.107.64,2023/04/21 18:33,http://www.54.net,700
1002856,192.168.169.68,xiaojiawei@qq.com,大二,2857,17935,0.8735,192.168.216.228,2023/04/21 17:30,http://www.12.cn,700
1002857,192.168.188.218,xiaojiawei@qq.com,大四,2858,25193,0.2824,192.168.3.100,2023/04/21 17:17,https://13.com,700
1002858,192.168.220.26,xiaojiawei@qq.com,大三,2859,25764,0.861,192.168.166.73,2023/04/21 18:00,http://www.42.net,700
1002859,192.168.184.18,xiaojiawei@qq.com,大一,2860,55684,0.0417,192.168.229.114,2023/04/21 18:19,http://24.org,700
1002860,192.168.164.1,xiaojiawei@qq.com,大一,2861,56130,0.7915,192.168.16.8,2023/04/21 17:30,https://www.64.org,700
1002861,192.168.253.78,xiaojiawei@qq.com,大二,2862,13200,0.159,192.168.232.160,2023/04/21 18:02,http://www.57.cn,700
1002862,192.168.241.132,xiaojiawei@qq.com,大四,2863,61019,0.5517,192.168.42.93,2023/04/21 16:27,https://www.33.com,700
1002863,192.168.24.109,xiaojiawei@qq.com,大四,2864,48435,0.0202,192.168.124.72,2023/04/21 18:45,https://www.78.cn,700
1002864,192.168.240.154,xiaojiawei@qq.com,大一,2865,62982,0.1501,192.168.117.156,2023/04/21 18:27,http://93.com,700
1002865,192.168.153.255,xiaojiawei@qq.com,大三,2866,62088,0.9077,192.168.238.146,2023/04/21 18:17,http://15.com,700
1002866,192.168.248.140,xiaojiawei@qq.com,大四,2867,57901,0.2021,192.168.159.3,2023/04/21 17:47,https://www.22.org,700
1002867,192.168.226.191,xiaojiawei@qq.com,大二,2868,47418,0.6239,192.168.105.75,2023/04/21 16:20,https://www.20.net,700
1002868,192.168.156.130,xiaojiawei@qq.com,大二,2869,48516,0.8031,192.168.20.137,2023/04/21 18:42,https://www.25.cn,700
1002869,192.168.174.17,xiaojiawei@qq.com,大一,2870,27927,0.0906,192.168.180.167,2023/04/21 16:45,https://60.org,700
1002870,192.168.217.179,xiaojiawei@qq.com,大一,2871,62804,0.99,192.168.27.152,2023/04/21 16:01,http://www.6.com,700
1002871,192.168.228.82,xiaojiawei@qq.com,大三,2872,64306,0.6768,192.168.44.199,2023/04/21 18:39,https://www.32.com,700
1002872,192.168.227.242,xiaojiawei@qq.com,大三,2873,30029,0.1572,192.168.119.65,2023/04/21 18:10,https://66.org,700
1002873,192.168.85.153,xiaojiawei@qq.com,大三,2874,37548,0.4863,192.168.172.140,2023/04/21 18:34,https://14.net,700
1002874,192.168.95.135,xiaojiawei@qq.com,大一,2875,36368,0.338,192.168.168.196,2023/04/21 16:11,https://6.com,700
1002875,192.168.184.128,xiaojiawei@qq.com,大一,2876,21751,0.2153,192.168.212.204,2023/04/21 17:35,http://63.cn,700
1002876,192.168.119.18,xiaojiawei@qq.com,大三,2877,19756,0.3107,192.168.207.25,2023/04/21 16:34,https://15.org,700
1002877,192.168.177.223,xiaojiawei@qq.com,大一,2878,29362,0.9502,192.168.151.61,2023/04/21 18:28,https://www.46.com,700
1002878,192.168.112.126,xiaojiawei@qq.com,大二,2879,46938,0.6392,192.168.202.183,2023/04/21 16:25,http://90.net,700
1002879,192.168.88.118,xiaojiawei@qq.com,大三,2880,12791,0.2036,192.168.133.203,2023/04/21 16:34,https://83.net,700
1002880,192.168.246.233,xiaojiawei@qq.com,大二,2881,29288,0.0222,192.168.156.8,2023/04/21 16:19,http://www.88.cn,700
1002881,192.168.212.240,xiaojiawei@qq.com,大一,2882,22217,0.8266,192.168.163.238,2023/04/21 18:22,http://www.84.org,700
1002882,192.168.79.241,xiaojiawei@qq.com,大一,2883,30114,0.3162,192.168.0.19,2023/04/21 16:14,http://69.org,700
1002883,192.168.167.138,xiaojiawei@qq.com,大二,2884,57872,0.6907,192.168.236.111,2023/04/21 17:29,https://www.28.cn,700
1002884,192.168.64.157,xiaojiawei@qq.com,大二,2885,34818,0.852,192.168.167.40,2023/04/21 18:27,http://13.cn,700
1002885,192.168.125.236,xiaojiawei@qq.com,大三,2886,25716,0.433,192.168.36.251,2023/04/21 16:29,http://89.org,700
1002886,192.168.107.232,xiaojiawei@qq.com,大三,2887,38107,0.0851,192.168.153.224,2023/04/21 18:55,http://33.org,700
1002887,192.168.249.175,xiaojiawei@qq.com,大一,2888,50682,0.2008,192.168.212.39,2023/04/21 18:22,https://www.16.net,700
1002888,192.168.95.174,xiaojiawei@qq.com,大二,2889,33528,0.1718,192.168.167.13,2023/04/21 18:15,https://www.76.net,700
1002889,192.168.28.242,xiaojiawei@qq.com,大四,2890,24277,0.9446,192.168.128.101,2023/04/21 17:00,https://47.net,700
1002890,192.168.10.44,xiaojiawei@qq.com,大三,2891,10646,0.1627,192.168.16.115,2023/04/21 18:57,http://53.net,700
1002891,192.168.13.168,xiaojiawei@qq.com,大二,2892,25310,0.1543,192.168.97.11,2023/04/21 18:29,http://48.com,700
1002892,192.168.79.140,xiaojiawei@qq.com,大三,2893,10273,0.262,192.168.83.166,2023/04/21 18:22,http://www.47.com,700
1002893,192.168.85.165,xiaojiawei@qq.com,大四,2894,23246,0.9543,192.168.201.36,2023/04/21 18:04,http://www.98.org,700
1002894,192.168.23.19,xiaojiawei@qq.com,大三,2895,11412,0.968,192.168.116.190,2023/04/21 17:00,https://86.cn,700
1002895,192.168.49.138,xiaojiawei@qq.com,大三,2896,47922,0.3745,192.168.248.94,2023/04/21 17:36,http://86.com,700
1002896,192.168.60.194,xiaojiawei@qq.com,大二,2897,13510,0.0461,192.168.214.170,2023/04/21 18:07,http://35.org,700
1002897,192.168.63.111,xiaojiawei@qq.com,大二,2898,20193,0.5479,192.168.202.68,2023/04/21 17:46,https://www.32.net,700
1002898,192.168.6.217,xiaojiawei@qq.com,大三,2899,63795,0.3553,192.168.250.31,2023/04/21 17:52,http://www.56.com,700
1002899,192.168.3.166,xiaojiawei@qq.com,大一,2900,25029,0.2635,192.168.78.225,2023/04/21 16:31,https://8.cn,700
1002900,192.168.173.51,xiaojiawei@qq.com,大一,2901,25638,0.5438,192.168.153.118,2023/04/21 18:09,http://www.75.cn,700
1002901,192.168.240.124,xiaojiawei@qq.com,大二,2902,63886,0.0679,192.168.82.159,2023/04/21 16:51,http://www.64.org,700
1002902,192.168.8.249,xiaojiawei@qq.com,大四,2903,35387,0.8694,192.168.7.51,2023/04/21 18:48,http://17.com,700
1002903,192.168.220.209,xiaojiawei@qq.com,大一,2904,48273,0.7556,192.168.137.125,2023/04/21 16:52,https://www.73.com,700
1002904,192.168.206.92,xiaojiawei@qq.com,大一,2905,22289,0.1667,192.168.26.95,2023/04/21 16:32,https://47.com,700
1002905,192.168.160.51,xiaojiawei@qq.com,大四,2906,11602,0.3785,192.168.185.10,2023/04/21 16:32,http://www.32.net,700
1002906,192.168.224.62,xiaojiawei@qq.com,大二,2907,14744,0.0787,192.168.71.188,2023/04/21 18:01,https://www.98.org,700
1002907,192.168.172.245,xiaojiawei@qq.com,大一,2908,26974,0.1631,192.168.38.142,2023/04/21 18:12,https://www.25.org,700
1002908,192.168.0.127,xiaojiawei@qq.com,大三,2909,45926,0.3748,192.168.189.100,2023/04/21 18:35,https://76.org,700
1002909,192.168.4.61,xiaojiawei@qq.com,大一,2910,29716,0.7186,192.168.117.216,2023/04/21 16:53,https://www.39.net,700
1002910,192.168.154.30,xiaojiawei@qq.com,大一,2911,44907,0.5049,192.168.217.153,2023/04/21 18:48,https://18.org,700
1002911,192.168.32.209,xiaojiawei@qq.com,大一,2912,41928,0.3568,192.168.107.234,2023/04/21 18:52,https://36.net,700
1002912,192.168.14.161,xiaojiawei@qq.com,大四,2913,51974,0.8573,192.168.61.149,2023/04/21 17:02,https://76.org,700
1002913,192.168.234.80,xiaojiawei@qq.com,大四,2914,20806,0.5367,192.168.146.216,2023/04/21 16:58,http://www.46.org,700
1002914,192.168.36.10,xiaojiawei@qq.com,大二,2915,48893,0.2594,192.168.43.75,2023/04/21 17:19,http://91.com,700
1002915,192.168.30.207,xiaojiawei@qq.com,大一,2916,19813,0.3872,192.168.177.182,2023/04/21 16:49,http://6.cn,700
1002916,192.168.166.24,xiaojiawei@qq.com,大三,2917,10200,0.3664,192.168.72.42,2023/04/21 17:21,http://www.82.net,700
1002917,192.168.237.152,xiaojiawei@qq.com,大一,2918,29059,0.3137,192.168.73.63,2023/04/21 16:06,https://72.com,700
1002918,192.168.154.30,xiaojiawei@qq.com,大三,2919,36728,0.9664,192.168.31.151,2023/04/21 18:35,https://www.77.net,700
1002919,192.168.126.32,xiaojiawei@qq.com,大三,2920,61470,0.5998,192.168.122.82,2023/04/21 16:51,http://71.org,700
1002920,192.168.33.114,xiaojiawei@qq.com,大一,2921,38466,0.1565,192.168.172.84,2023/04/21 18:59,http://70.cn,700
1002921,192.168.200.126,xiaojiawei@qq.com,大四,2922,61938,0.8978,192.168.46.56,2023/04/21 16:28,http://www.25.cn,700
1002922,192.168.51.90,xiaojiawei@qq.com,大二,2923,41689,0.0835,192.168.45.116,2023/04/21 18:38,https://60.cn,700
1002923,192.168.113.231,xiaojiawei@qq.com,大三,2924,39859,0.8306,192.168.167.17,2023/04/21 17:34,http://www.3.net,700
1002924,192.168.151.34,xiaojiawei@qq.com,大三,2925,36822,0.6943,192.168.150.173,2023/04/21 16:25,http://7.cn,700
1002925,192.168.150.234,xiaojiawei@qq.com,大二,2926,37829,0.9,192.168.238.204,2023/04/21 16:29,http://43.net,700
1002926,192.168.209.209,xiaojiawei@qq.com,大二,2927,18709,0.4488,192.168.233.204,2023/04/21 17:20,http://www.63.net,700
1002927,192.168.234.214,xiaojiawei@qq.com,大二,2928,40311,0.1885,192.168.253.79,2023/04/21 18:12,https://www.50.com,700
1002928,192.168.110.147,xiaojiawei@qq.com,大一,2929,59579,0.568,192.168.77.98,2023/04/21 16:59,https://75.com,700
1002929,192.168.253.125,xiaojiawei@qq.com,大三,2930,10517,0.8029,192.168.186.92,2023/04/21 17:49,http://60.org,700
1002930,192.168.9.103,xiaojiawei@qq.com,大二,2931,63893,0.5339,192.168.223.224,2023/04/21 17:48,https://16.cn,700
1002931,192.168.38.171,xiaojiawei@qq.com,大三,2932,21920,0.1306,192.168.53.1,2023/04/21 18:21,https://www.78.com,700
1002932,192.168.191.186,xiaojiawei@qq.com,大三,2933,62924,0.2673,192.168.121.124,2023/04/21 17:35,http://www.21.cn,700
1002933,192.168.217.143,xiaojiawei@qq.com,大三,2934,15240,0.9397,192.168.75.182,2023/04/21 18:26,http://80.cn,700
1002934,192.168.243.178,xiaojiawei@qq.com,大二,2935,60004,0.6884,192.168.142.175,2023/04/21 16:01,https://41.cn,700
1002935,192.168.65.127,xiaojiawei@qq.com,大一,2936,30393,0.8808,192.168.248.147,2023/04/21 16:26,https://94.org,700
1002936,192.168.90.193,xiaojiawei@qq.com,大二,2937,43099,0.0022,192.168.29.92,2023/04/21 18:11,https://72.org,700
1002937,192.168.10.234,xiaojiawei@qq.com,大四,2938,62750,0.5585,192.168.25.210,2023/04/21 17:53,http://www.49.org,700
1002938,192.168.137.37,xiaojiawei@qq.com,大二,2939,24755,0.966,192.168.35.31,2023/04/21 18:59,http://www.19.cn,700
1002939,192.168.200.224,xiaojiawei@qq.com,大二,2940,29700,0.2556,192.168.237.170,2023/04/21 17:34,http://86.net,700
1002940,192.168.128.13,xiaojiawei@qq.com,大四,2941,33368,0.7697,192.168.248.101,2023/04/21 18:32,https://www.88.com,700
1002941,192.168.88.192,xiaojiawei@qq.com,大一,2942,50492,0.7532,192.168.116.34,2023/04/21 17:06,https://www.36.com,700
1002942,192.168.77.95,xiaojiawei@qq.com,大二,2943,54757,0.4961,192.168.18.88,2023/04/21 16:53,https://12.org,700
1002943,192.168.234.117,xiaojiawei@qq.com,大四,2944,55811,0.3471,192.168.94.212,2023/04/21 16:39,https://www.100.org,700
1002944,192.168.134.54,xiaojiawei@qq.com,大三,2945,12103,0.6179,192.168.39.63,2023/04/21 17:31,https://www.38.org,700
1002945,192.168.160.71,xiaojiawei@qq.com,大二,2946,49180,0.1859,192.168.100.236,2023/04/21 16:45,http://32.org,700
1002946,192.168.251.3,xiaojiawei@qq.com,大四,2947,26145,0.2458,192.168.181.77,2023/04/21 16:12,https://www.47.cn,700
1002947,192.168.21.17,xiaojiawei@qq.com,大四,2948,62350,0.9588,192.168.73.108,2023/04/21 17:41,http://www.76.cn,700
1002948,192.168.189.122,xiaojiawei@qq.com,大三,2949,58292,0.5582,192.168.157.105,2023/04/21 18:48,http://27.cn,700
1002949,192.168.46.155,xiaojiawei@qq.com,大二,2950,24600,0.8315,192.168.230.230,2023/04/21 17:14,https://64.cn,700
1002950,192.168.46.107,xiaojiawei@qq.com,大四,2951,64800,0.294,192.168.192.90,2023/04/21 17:07,https://www.77.net,700
1002951,192.168.48.134,xiaojiawei@qq.com,大三,2952,32312,0.286,192.168.173.231,2023/04/21 16:02,https://65.net,700
1002952,192.168.204.159,xiaojiawei@qq.com,大一,2953,62750,0.7073,192.168.102.239,2023/04/21 17:47,http://13.net,700
1002953,192.168.182.144,xiaojiawei@qq.com,大一,2954,36678,0.0075,192.168.55.215,2023/04/21 16:18,https://39.cn,700
1002954,192.168.54.26,xiaojiawei@qq.com,大一,2955,47443,0.6638,192.168.170.238,2023/04/21 16:47,https://www.3.cn,700
1002955,192.168.209.215,xiaojiawei@qq.com,大一,2956,20668,0.0253,192.168.247.69,2023/04/21 18:51,http://77.net,700
1002956,192.168.63.3,xiaojiawei@qq.com,大三,2957,57186,0.8139,192.168.88.229,2023/04/21 18:03,http://5.com,700
1002957,192.168.154.165,xiaojiawei@qq.com,大一,2958,12456,0.4018,192.168.171.108,2023/04/21 17:11,https://80.org,700
1002958,192.168.105.33,xiaojiawei@qq.com,大三,2959,34877,0.0417,192.168.113.200,2023/04/21 16:16,http://www.58.cn,700
1002959,192.168.148.132,xiaojiawei@qq.com,大二,2960,62301,0.2137,192.168.205.205,2023/04/21 16:26,https://78.net,700
1002960,192.168.91.164,xiaojiawei@qq.com,大一,2961,25193,0.2228,192.168.116.201,2023/04/21 16:28,http://www.75.cn,700
1002961,192.168.125.36,xiaojiawei@qq.com,大二,2962,56758,0.2806,192.168.195.29,2023/04/21 18:51,http://www.13.net,700
1002962,192.168.45.48,xiaojiawei@qq.com,大三,2963,21989,0.6331,192.168.251.78,2023/04/21 18:58,http://3.org,700
1002963,192.168.251.73,xiaojiawei@qq.com,大二,2964,49853,0.8235,192.168.251.179,2023/04/21 17:12,http://www.67.net,700
1002964,192.168.151.193,xiaojiawei@qq.com,大一,2965,44843,0.0781,192.168.117.159,2023/04/21 17:18,https://42.net,700
1002965,192.168.63.138,xiaojiawei@qq.com,大一,2966,50558,0.8667,192.168.176.215,2023/04/21 16:32,https://www.42.cn,700
1002966,192.168.139.18,xiaojiawei@qq.com,大三,2967,46919,0.5457,192.168.142.255,2023/04/21 18:14,https://19.com,700
1002967,192.168.186.255,xiaojiawei@qq.com,大三,2968,15905,0.557,192.168.166.138,2023/04/21 16:47,https://97.net,700
1002968,192.168.68.84,xiaojiawei@qq.com,大三,2969,29863,0.3836,192.168.49.214,2023/04/21 18:53,https://www.80.com,700
1002969,192.168.228.154,xiaojiawei@qq.com,大二,2970,52036,0.4597,192.168.57.205,2023/04/21 18:41,http://www.71.net,700
1002970,192.168.65.87,xiaojiawei@qq.com,大一,2971,21274,0.8339,192.168.72.26,2023/04/21 17:45,http://88.org,700
1002971,192.168.238.26,xiaojiawei@qq.com,大一,2972,27734,0.7315,192.168.39.100,2023/04/21 16:36,http://73.com,700
1002972,192.168.32.90,xiaojiawei@qq.com,大四,2973,41751,0.2347,192.168.157.175,2023/04/21 16:22,http://www.45.cn,700
1002973,192.168.200.31,xiaojiawei@qq.com,大一,2974,63589,0.1527,192.168.118.47,2023/04/21 16:45,https://79.com,700
1002974,192.168.0.210,xiaojiawei@qq.com,大一,2975,63256,0.3525,192.168.55.20,2023/04/21 18:32,http://7.org,700
1002975,192.168.1.111,xiaojiawei@qq.com,大二,2976,44175,0.8015,192.168.254.167,2023/04/21 17:00,http://www.13.net,700
1002976,192.168.65.207,xiaojiawei@qq.com,大四,2977,53960,0.7802,192.168.25.46,2023/04/21 18:30,https://www.70.com,700
1002977,192.168.24.111,xiaojiawei@qq.com,大三,2978,49437,0.5609,192.168.126.148,2023/04/21 16:29,https://www.88.cn,700
1002978,192.168.153.208,xiaojiawei@qq.com,大四,2979,17627,0.0968,192.168.91.82,2023/04/21 18:57,http://www.2.com,700
1002979,192.168.100.197,xiaojiawei@qq.com,大四,2980,15695,0.0976,192.168.47.180,2023/04/21 18:24,http://www.50.cn,700
1002980,192.168.55.187,xiaojiawei@qq.com,大三,2981,29773,0.6855,192.168.6.125,2023/04/21 17:27,http://www.13.com,700
1002981,192.168.90.17,xiaojiawei@qq.com,大二,2982,28391,0.4858,192.168.141.50,2023/04/21 17:20,https://www.14.cn,700
1002982,192.168.107.222,xiaojiawei@qq.com,大二,2983,14781,0.6389,192.168.82.36,2023/04/21 17:28,http://79.net,700
1002983,192.168.159.237,xiaojiawei@qq.com,大三,2984,46561,0.6843,192.168.240.150,2023/04/21 16:15,https://93.net,700
